Nombre de archivo,Latitud,Longitud,premio
m27.jpg,19.3454111,-99.1908417,true
e17.jpg,19.34615,-99.1899194
r9.jpg,19.3455,-99.1933972
o1.jpg,19.3456056,-99.1937861
m28.jpg,19.3427917,-99.1907056
O6.jpg,19.3441056,-99.1916417
r42.jpg,19.3420778,-99.1950306
m37.jpg,19.3417833,-99.1943806
e20.jpg,19.3454028,-99.1924444
m33.jpg,19.344875,-99.1930389
m18.jpg,19.3442944,-99.1978306
IMG_6714.jpg,19.3444417,-99.1929639
e15.jpg,19.3418833,-99.1943889
o4.jpg,19.3456083,-99.1935806
e12.jpg,19.344375,-99.1901333
r38.jpg,19.3420722,-99.1958556
IMG_6708.MOV,19.3427,-99.1912
IMG_2218.jpg,19.3451278,-99.191025
r44.jpg,19.3459333,-99.189925
IMG_2151.jpg,19.3443361,-99.1930472
IMG_2167.jpg,19.3447333,-99.1976167
r20.jpg,19.3454278,-99.1922694
r1.jpg,19.3438111,-99.1919417
o16.jpg,19.3415111,-99.2006139
05.jpg,19.3450556,-99.1932917
o10.jpg,19.3457278,-99.1900417
o8.jpg,19.3450611,-99.1910944
r40.jpg,19.3423139,-99.1979528
e7.jpg,19.3450056,-99.1911861
m13.jpg,19.3449333,-99.1935583
m31.jpg,19.341625,-99.1935361
r47.jpg,19.3440806,-99.1916194
m22.jpg,19.3461389,-99.1976694
e14.jpg,19.3431056,-99.1906361
r20.jpg,19.3454,-99.1924278
m12.jpg,19.3426917,-99.1992333
o22.jpg,19.3441472,-99.190225
o23.jpg,19.34195,-99.1955028
o21.jpg,19.3456694,-99.1952139
m32.jpg,19.3414222,-99.1935111
o24.jpg,19.3441889,-99.1955639
m15.jpg,19.3443472,-99.1960444
e13.jpg,19.3448778,-99.1932611
r46.jpg,19.3428778,-99.1984556
o8.jpg,19.3450778,-99.1911306
o20.jpg,19.3458528,-99.1979306
m7.jpg,19.3455361,-99.1980583
r16.jpg,19.3456583,-99.1941222
o25.jpg,19.3419083,-99.1919778
r45.jpg,19.3455972,-99.193925
m29.jpg,19.3417528,-99.1924889
r41.jpg,19.3428833,-99.2003333
r35.jpg,19.3440722,-99.196725
o18.jpg,19.3442,-99.1955722
o19.jpg,19.3441583,-99.1966167
r7.jpg,19.3452333,-99.193025
m48.jpg,19.3441944,-99.1955806
o3.jpg,19.3443167,-99.1919556
r21.jpg,19.3445167,-99.1927111
r39.jpg,19.34265,-99.199425
m20.jpg,19.3463944,-99.1979056
e7.jpg,19.3449417,-99.1912167
m39.jpg,19.3418278,-99.1967306
m40.jpg,19.3452111,-99.1909417
e16.jpg,19.3424611,-99.1916972
m14.jpg,19.3444,-99.1955111
m38.jpg,19.3416917,-99.1976861
e3.jpg,19.3449667,-99.1942222
o12.jpg,19.3422139,-99.2003861
m43.jpg,19.3448028,-99.1928778
e19.jpg,19.3422917,-99.1919472
m24.jpg,19.3460528,-99.1969306
m37.jpg,19.3469833,-99.1949306
230.jpg,19.3454361,-99.1981278
m16.jpg,19.3438611,-99.19715
m30.jpg,19.3416389,-99.19345
m35.jpg,19.3452917,-99.1908722
r33.jpg,19.3460222,-99.1966778
m10.jpg,19.3418472,-99.1943667
o15.jpg,19.3418667,-99.1961972
m36.jpg,19.3426889,-99.1907111
m34.jpg,19.346525,-99.194175
O2.jpg,19.3440806,-99.1916194
r3.jpg,19.3438167,-99.1971056
r43.jpg,19.341775,-99.1929694
o14.jpg,19.3418222,-99.1977083
